date,up,down,unchanged,limit_up,limit_down,ad_ratio,breadth_pct
2025-07-14,269,673,74,7,0,0.2855626326963906,26.476377952755904
2025-07-15,557,348,106,8,0,0.6154696132596685,55.093966369930754
2025-07-17,721,209,71,8,0,0.7752688172043011,72.02797202797203
2025-07-18,445,475,107,10,0,0.483695652173913,43.3300876338851
2025-07-21,434,473,117,10,0,0.4785005512679162,42.3828125
2025-07-22,104,888,34,2,1,0.1048387096774193,10.1364522417154
2025-07-23,879,104,44,14,0,0.8942014242115972,85.58909444985395
2025-07-24,450,440,124,7,0,0.5056179775280899,44.37869822485207
2025-07-25,372,528,124,8,0,0.4133333333333333,36.328125
2025-07-28,484,419,125,10,0,0.5359911406423035,47.081712062256805
2025-07-29,195,754,86,6,0,0.2054794520547945,18.84057971014493
2025-07-30,640,263,113,13,0,0.70874861572536,62.99212598425197
2025-07-31,244,680,89,7,0,0.264069264069264,24.086870681145115
2025-08-01,610,325,103,17,0,0.6524064171122995,58.76685934489403
2025-08-04,589,345,97,16,2,0.6306209850107066,57.12900096993211
2025-08-05,643,283,101,13,1,0.6943844492440605,62.6095423563778
2025-08-06,465,451,123,9,0,0.50764192139738,44.75457170356112
2025-08-07,409,509,116,14,1,0.4455337690631808,39.55512572533849
2025-08-08,413,518,112,13,0,0.4436090225563909,39.59731543624161
2025-08-11,399,569,69,19,1,0.4121900826446281,38.47637415621987
2025-08-12,566,365,99,11,0,0.6079484425349087,54.95145631067962
2025-08-13,451,467,111,22,3,0.4912854030501089,43.82896015549077
2025-08-14,614,319,102,14,3,0.6580921757770632,59.32367149758454
2025-08-15,488,453,93,19,0,0.5185972369819342,47.195357833655706
2025-08-18,561,385,93,37,0,0.5930232558139535,53.99422521655438
2025-08-19,290,671,78,18,0,0.3017689906347555,27.91145332050048
2025-08-21,762,177,92,18,0,0.8115015974440895,73.90882638215325
2025-08-22,280,671,88,10,1,0.2944269190325972,26.948989412897017
2025-08-25,655,290,89,33,0,0.6931216931216931,63.34622823984526
2025-08-26,415,520,99,22,0,0.4438502673796791,40.135396518375245
2025-08-27,619,312,109,27,0,0.664876476906552,59.51923076923077
2025-08-28,443,472,106,21,0,0.4841530054644808,43.388834476003915
2025-08-29,393,533,112,25,1,0.4244060475161987,37.861271676300575
2025-09-01,209,765,61,10,5,0.2145790554414784,20.193236714975846
2025-09-02,344,585,104,8,3,0.3702906350914962,33.30106485963214
2025-09-03,613,309,117,25,1,0.6648590021691974,58.99903753609239
2025-09-04,637,319,76,34,1,0.6663179916317992,61.724806201550386
2025-09-05,509,429,100,15,0,0.5426439232409381,49.03660886319846
2025-09-08,500,425,111,11,2,0.5405405405405406,48.26254826254826
2025-09-09,401,542,97,6,0,0.4252386002120891,38.55769230769231
2025-09-10,395,556,94,20,1,0.4153522607781283,37.79904306220095
2025-09-11,148,841,55,9,3,0.1496461071789686,14.17624521072797
2025-09-12,612,324,111,11,1,0.6538461538461539,58.45272206303726
2025-09-15,312,634,99,13,1,0.3298097251585624,29.856459330143544
2025-09-16,520,423,101,19,0,0.5514316012725344,49.808429118773944
2025-09-17,396,542,109,11,0,0.4221748400852878,37.82234957020057
2025-09-18,653,290,104,21,1,0.6924708377518558,62.368672397325696
2025-09-19,449,514,86,12,0,0.4662512980269989,42.802669208770254
2025-09-22,481,470,93,13,0,0.5057833859095688,46.0727969348659
2025-09-23,303,638,101,10,3,0.3219978746014877,29.078694817658352
2025-09-24,418,508,122,10,0,0.4514038876889849,39.88549618320611
2025-09-25,452,451,132,9,1,0.5005537098560354,43.671497584541065
2025-09-26,115,870,53,3,1,0.116751269035533,11.078998073217726
2025-09-30,752,205,81,11,1,0.7857889237199582,72.44701348747591
2025-10-01,329,596,115,5,0,0.3556756756756756,31.634615384615383
2025-10-02,319,606,114,7,1,0.3448648648648648,30.702598652550527
2025-10-03,380,541,121,12,0,0.4125950054288816,36.46833013435701
2025-10-07,580,353,107,16,0,0.6216505894962486,55.769230769230774
2025-10-08,448,491,108,9,0,0.4771033013844515,42.78892072588348
2025-10-09,413,532,102,14,0,0.437037037037037,39.44603629417383
2025-10-13,234,769,46,17,1,0.2333000997008973,22.3069590085796
2025-10-14,241,738,72,13,2,0.2461695607763023,22.930542340627973
2025-10-15,506,459,86,16,0,0.5243523316062176,48.14462416745956
2025-10-16,720,244,87,12,2,0.7468879668049793,68.50618458610846
2025-10-17,352,601,96,7,1,0.3693599160545645,33.55576739752145
2025-10-20,448,492,106,16,0,0.4765957446808511,42.829827915869984
2025-10-21,540,383,125,20,0,0.5850487540628385,51.526717557251914
2025-10-22,682,270,96,15,2,0.7163865546218487,65.07633587786259
2025-10-23,299,643,107,6,1,0.3174097664543524,28.503336510962825
2025-10-27,515,449,86,18,1,0.5342323651452282,49.04761904761904
2025-10-28,230,745,73,6,1,0.2358974358974359,21.946564885496183
2025-10-29,409,517,123,13,1,0.4416846652267818,38.989513822688274
2025-10-30,301,667,83,11,1,0.3109504132231405,28.639391056137015
2025-10-31,376,573,103,6,1,0.3962065331928345,35.741444866920155
2025-11-03,423,536,92,14,0,0.4410844629822732,40.24738344433872
2025-11-04,221,756,69,6,7,0.2262026612077789,21.12810707456979
2025-11-05,349,610,86,9,0,0.3639207507820646,33.39712918660287
2025-11-06,756,220,71,17,0,0.7745901639344263,72.20630372492836
2025-11-07,279,694,73,12,4,0.2867420349434738,26.673040152963672
2025-11-10,360,593,89,14,0,0.3777544596012592,34.548944337811896
2025-11-11,412,542,92,14,6,0.4318658280922431,39.38814531548757
2025-11-12,723,246,80,16,3,0.7461300309597523,68.92278360343184
2025-11-13,495,461,90,23,1,0.5177824267782427,47.32313575525813
2025-11-14,264,698,84,11,5,0.2744282744282744,25.239005736137663
2025-11-17,280,694,75,6,4,0.2874743326488706,26.69208770257388
2025-11-18,98,911,40,1,5,0.0971258671952428,9.342230695900858
2025-11-19,270,691,88,3,0,0.2809573361082206,25.738798856053386
2025-11-20,842,147,60,9,0,0.8513650151668352,80.26692087702574
2025-11-21,149,829,69,1,9,0.1523517382413088,14.231136580706782
2025-11-24,703,263,82,8,0,0.727743271221532,67.08015267175573
2025-11-25,668,286,98,19,1,0.70020964360587,63.49809885931559
2025-11-26,860,139,53,17,1,0.8608608608608609,81.74904942965779
2025-11-27,529,414,105,13,0,0.5609756097560976,50.47709923664122
2025-11-28,566,374,107,8,0,0.6021276595744681,54.05921680993314
2025-12-01,307,663,80,11,1,0.3164948453608247,29.23809523809524
2025-12-02,550,392,110,9,0,0.583864118895966,52.28136882129277
2025-12-03,599,348,107,11,0,0.6325237592397043,56.831119544592035
2025-12-04,531,391,130,20,0,0.5759219088937093,50.475285171102655
2025-12-05,339,615,98,11,1,0.3553459119496855,32.22433460076046
2025-12-08,440,504,108,16,1,0.4661016949152542,41.825095057034225
2025-12-09,417,528,105,16,0,0.4412698412698412,39.714285714285715
2025-12-10,346,605,96,13,0,0.3638275499474238,33.046800382043934
2025-12-11,420,513,115,17,0,0.45016077170418,40.0763358778626
2025-12-12,556,368,127,15,1,0.6017316017316018,52.90199809705043
2025-12-15,510,449,93,18,1,0.5318039624608968,48.47908745247148
2025-12-16,222,770,65,15,1,0.2237903225806451,21.002838221381268
2025-12-17,415,529,111,14,1,0.4396186440677966,39.33649289099526
2025-12-18,349,582,117,6,1,0.3748657357679914,33.30152671755725
2025-12-19,734,220,94,11,1,0.7693920335429769,70.0381679389313
2025-12-22,683,262,104,17,0,0.7227513227513227,65.10962821734985
2025-12-23,347,574,129,11,0,0.3767643865363735,33.04761904761905
2025-12-24,326,612,113,9,1,0.347547974413646,31.01807802093244
2025-12-26,463,478,112,13,0,0.4920297555791711,43.9696106362773
2025-12-29,537,408,108,20,3,0.5682539682539682,50.99715099715099
2025-12-30,324,625,104,12,1,0.3414120126448893,30.76923076923077
2025-12-31,378,574,104,8,0,0.3970588235294117,35.79545454545455
2026-01-02,503,468,89,22,1,0.518022657054583,47.45283018867924
2026-01-05,251,749,62,23,4,0.251,23.634651600753298
2026-01-06,565,388,104,28,0,0.5928646379853095,53.45316934720909
2026-01-07,622,352,82,39,1,0.6386036960985626,58.90151515151515
2026-01-08,374,590,89,13,1,0.3879668049792531,35.51756885090219
2026-01-09,506,448,103,16,2,0.5303983228511531,47.87133396404919
2026-01-12,628,334,94,32,1,0.6528066528066528,59.46969696969697
2026-01-13,389,601,67,22,1,0.3929292929292929,36.80227057710501
2026-01-14,815,166,78,42,0,0.8307849133537207,76.95939565627951
2026-01-15,530,432,98,23,1,0.5509355509355509,50.0
2026-01-16,421,552,87,29,3,0.4326824254881808,39.716981132075475
2026-01-19,563,416,83,42,0,0.575076608784474,53.01318267419962
2026-01-20,347,622,93,26,0,0.3581011351909184,32.674199623352166
2026-01-21,250,726,86,23,3,0.2561475409836065,23.540489642184557
2026-01-22,584,376,102,27,1,0.6083333333333333,54.99058380414312
2026-01-23,450,519,92,27,2,0.4643962848297213,42.41281809613572
2026-01-26,573,388,98,38,0,0.5962539021852237,54.107648725212464
2026-01-27,392,585,85,26,0,0.4012282497441146,36.91148775894539
2026-01-28,470,517,77,25,0,0.4761904761904761,44.17293233082707
2026-01-29,273,704,83,12,3,0.2794268167860798,25.754716981132077
2026-01-30,176,830,54,12,3,0.1749502982107356,16.60377358490566
2026-02-02,157,861,43,6,10,0.1542239685658153,14.797360980207351
2026-02-03,622,338,103,19,0,0.6479166666666667,58.51364063969896
2026-02-04,809,182,67,28,1,0.8163471241170535,76.46502835538752
